TimeStamp,StaticAnalyzerTool,ErrorMsg,ErrorType,ErrorCertainty,FilePath,FileName,LineNumber,ErrorCount,
2019-09-19 2:24:39 PM,NDepend,Average IL Nesting Depth for Methods,NA,NA,NA,NA,NA,0.83333,
2019-09-19 2:24:39 PM,NDepend,Max # of Methods for Types,NA,NA,NA,NA,NA,5,
2019-09-19 2:24:39 PM,NDepend,Average # Methods for Types,NA,NA,NA,NA,NA,2,
2019-09-19 2:24:39 PM,NDepend,Max # of Methods for Interfaces,NA,NA,NA,NA,NA,2,
2019-09-19 2:24:39 PM,NDepend,Average # Methods for Interfaces,NA,NA,NA,NA,NA,2,
2019-09-19 2:24:39 PM,NDepend,# Lines of Code Uncoverable,NA,NA,NA,NA,NA,0,
2019-09-19 2:24:39 PM,NDepend,# Third-Party Assemblies Used,NA,NA,NA,NA,NA,5,
2019-09-19 2:24:39 PM,NDepend,# Third-Party Namespaces Used,NA,NA,NA,NA,NA,14,
2019-09-19 2:24:39 PM,NDepend,# Third-Party Types Used,NA,NA,NA,NA,NA,62,
2019-09-19 2:24:39 PM,NDepend,# Third-Party Methods Used,NA,NA,NA,NA,NA,60,
2019-09-19 2:24:39 PM,NDepend,# Third-Party Fields Used,NA,NA,NA,NA,NA,1,
2019-09-19 2:24:39 PM,NDepend,# Rules Violations,NA,NA,NA,NA,NA,25,
2019-09-19 2:24:39 PM,NDepend,# Critical Rules,NA,NA,NA,NA,NA,21,
2019-09-19 2:24:39 PM,NDepend,# Critical Rules Violations,NA,NA,NA,NA,NA,1,
